English Date,fuel
1/1/2022,119
1/19/2022,122
2/1/2022,125
2/19/2022,128
2/20/2022,128
3/3/2022,133
3/16/2022,138
4/5/2022,143
5/14/2022,153
5/22/2022,163
6/2/2022,153
6/9/2022,165
6/19/2022,192
6/25/2022,163
7/4/2022,172
9/1/2022,178
12/16/2022,175
1/8/2023,172
2/6/2023,175
4/3/2023,165
5/16/2023,155
6/20/2023,155
7/3/2023,150
7/16/2023,146
8/1/2023,153
8/16/2023,167
9/1/2023,170
9/15/2023,173
9/30/2023,179
10/1/2023,173
10/15/2023,168
11/1/2023,164
11/30/2023,160
12/15/2023,157
12/31/2023,157
1/15/2024,156
1/31/2024,158
2/15/2024,160
3/15/2024,158
4/1/2024,158
4/16/2024,161
4/30/2024,159
5/16/2024,154
5/31/2024,153
6/30/2024,157
7/15/2024,160
7/31/2024,158
8/16/2024,155
9/1/2024,154
9/16/2024,149
9/30/2024,147
10/15/2024,151
10/31/2024,150
11/15/2024,153
11/30/2024,153
12/15/2024,151
12/31/2024,153
1/15/2025,156
1/31/2025,160
2/16/2025,156
3/1/2025,155
3/16/2025,151
3/31/2025,149
4/15/2025,146
4/30/2025,145
5/15/2025,142
5/31/2025,143
6/1/2025,145
6/30/2025,149
7/15/2025,148
7/31/2025,150
8/15/2025,149
8/31/2025,145
9/15/2025,142.5
9/30/2025,145
